GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sistema-de-judocas,main.java.org.fpij.jitakyoei.view.forms,ProfessorForm.AdicionarEntidadeActionHandler,23,0,0,0,4,0,2,0,2,0
sistema-de-judocas,main.java.org.fpij.jitakyoei.view.forms,EntidadeForm,131,0,0,0,36,0,13,0,13,0
sistema-de-judocas,main.java.org.fpij.jitakyoei.view.forms,ProfessorForm,142,0,4,0,35,0,11,0,9,0
sistema-de-judocas,main.java.org.fpij.jitakyoei.view.forms,FiliadoForm.AdicionarFaixaActionHandler,29,0,0,0,4,0,2,0,2,0
sistema-de-judocas,main.java.org.fpij.jitakyoei.view.forms,AlunoForm,165,0,4,0,50,0,13,0,11,0
sistema-de-judocas,main.java.org.fpij.jitakyoei.view.forms,EnderecoForm,143,0,0,0,39,0,16,0,16,0
sistema-de-judocas,main.java.org.fpij.jitakyoei.view.forms,FiliadoForm,358,0,4,0,85,0,31,0,29,0
sistema-de-judocas,main.java.org.fpij.jitakyoei.view.forms,CamposBuscaForm,28,0,0,0,9,0,5,0,5,0
sistema-de-judocas,main.java.org.fpij.jitakyoei.model.beans,Endereco,0,80,0,0,0,20,0,14,0,14
sistema-de-judocas,main.java.org.fpij.jitakyoei.model.beans,Rg,6,54,2,4,3,14,3,8,1,7
sistema-de-judocas,main.java.org.fpij.jitakyoei.model.beans,ProfessorEntidade,60,0,6,0,16,0,10,0,7,0
sistema-de-judocas,main.java.org.fpij.jitakyoei.model.beans,Faixa,24,15,0,0,6,7,4,3,4,3
sistema-de-judocas,main.java.org.fpij.jitakyoei.model.beans,Filiado,21,206,1,5,9,57,7,27,6,25
sistema-de-judocas,main.java.org.fpij.jitakyoei.model.beans,Professor,8,60,3,3,2,14,4,7,1,7
sistema-de-judocas,main.java.org.fpij.jitakyoei.model.beans,Entidade,56,38,6,0,13,16,7,11,4,11
sistema-de-judocas,main.java.org.fpij.jitakyoei.model.beans,Aluno,62,25,8,0,12,10,8,7,4,7
sistema-de-judocas,main.java.org.fpij.jitakyoei.model.validator,AlunoValidator,5,0,0,0,2,0,2,0,2,0
sistema-de-judocas,main.java.org.fpij.jitakyoei.view,ProfessorCadastrarView.CancelarActionHandler,14,0,0,0,3,0,2,0,2,0
